Batch_ID,Product_Type,Production_Line,Machine_ID,Workers_Assigned,Raw_Material_Quantity,Batch_Size,Production_Priority,Quality_Check_Level,Machine_Load,Temperature_Control,Shift,Processing_Time,Worker_Wage_Rate_INR_per_Min,Machine_Usage_Rate_INR_per_Min,Raw_Material_Cost_INR,Batch_Cost_INR,Production_Timestamp
B2044,OncoDrug_B,Line_1,M4,2,155.2,155,Low,Strict,0.7,Stable,Night,75.9,2.0,12.85,18029.37,19308.29,04/01/2024 16:00
B2045,OncoDrug_A,Line_2,M5,6,183.99,135,High,Standard,0.71,Minor_Fluctuation,Evening,50.66,2.83,9.75,14904.78,16259.94,04/01/2024 18:00
B2046,OncoDrug_D,Line_2,M1,7,95.61,106,High,Strict,0.42,Controlled_Adjustment,Morning,38.39,3.25,11.95,12757.21,14089.35,04/01/2024 20:00
B2047,OncoDrug_D,Line_3,M1,6,160.49,92,Medium,Critical,0.66,Controlled_Adjustment,Evening,58.07,2.37,17.02,23502.22,25314.97,04/01/2024 22:00
B2048,OncoDrug_C,Line_4,M4,5,87.7,197,Medium,Critical,0.74,Minor_Fluctuation,Morning,85.28,3.13,16.92,10796.92,13575.62,05/01/2024 00:00
B2049,OncoDrug_C,Line_1,M3,3,84.51,187,High,Standard,0.75,Stable,Night,53.99,3.38,19.38,10766.33,12360.84,05/01/2024 02:00
B2050,OncoDrug_B,Line_1,M5,4,189.36,160,Low,Critical,0.74,Minor_Fluctuation,Morning,88.77,2.7,17.58,18780.11,21299.7,05/01/2024 04:00
B2051,OncoDrug_A,Line_3,M1,5,97.13,189,Medium,Strict,0.42,Stable,Evening,64.2,2.57,9.82,9939.38,11393.51,05/01/2024 06:00
B2052,OncoDrug_C,Line_3,M3,3,195.87,174,Low,Strict,0.56,Stable,Night,75.87,3.23,15.2,16207.24,18096.4,05/01/2024 08:00
B2053,OncoDrug_D,Line_2,M2,2,216.59,197,Medium,Strict,0.63,Controlled_Adjustment,Morning,75.93,2.38,11.52,26059.18,27295.57,05/01/2024 10:00
B2054,OncoDrug_C,Line_1,M3,4,150.15,155,High,Strict,0.59,Minor_Fluctuation,Morning,59.31,3.47,12.87,17627.46,19213.02,05/01/2024 12:00
B2055,OncoDrug_A,Line_1,M3,5,220.5,145,Medium,Strict,0.56,Controlled_Adjustment,Evening,59.89,2.3,11.27,18465.36,19828.85,05/01/2024 14:00
B2056,OncoDrug_D,Line_4,M3,6,233.91,135,Medium,Strict,0.6,Controlled_Adjustment,Morning,60.53,2.85,16.75,29058.93,31107.87,05/01/2024 16:00
B2057,OncoDrug_C,Line_3,M5,6,95.59,199,Low,Strict,0.58,Stable,Evening,73.98,3.4,16.38,13978.43,16699.66,05/01/2024 18:00
B2058,OncoDrug_A,Line_2,M5,2,99.29,101,Low,Standard,0.94,Stable,Morning,54.83,3.23,19.28,14675.47,16087.34,05/01/2024 20:00
B2059,OncoDrug_B,Line_3,M5,2,209.46,66,Medium,Strict,0.63,Controlled_Adjustment,Evening,52.49,2.65,11.15,22572.24,23435.7,05/01/2024 22:00
B2060,OncoDrug_D,Line_4,M5,4,200.06,64,Medium,Strict,0.68,Stable,Night,46.08,3.07,14.02,27387.57,28598.71,06/01/2024 00:00
B2061,OncoDrug_A,Line_1,M1,2,180.62,95,Low,Critical,0.61,Minor_Fluctuation,Morning,62.78,2.5,15.73,19228.76,20530.4,06/01/2024 02:00
B2062,OncoDrug_C,Line_1,M1,4,122.28,78,High,Strict,0.46,Stable,Morning,33.68,3.52,18.95,10264.59,11376.6,06/01/2024 04:00
B2063,OncoDrug_C,Line_1,M3,5,210.42,186,High,Critical,0.76,Stable,Night,78.87,2.0,14.77,25426.65,27380.0,06/01/2024 06:00
B2064,OncoDrug_C,Line_4,M4,7,148.04,172,Medium,Standard,0.45,Stable,Evening,44.54,2.95,17.58,21976.68,23679.59,06/01/2024 08:00
B2065,OncoDrug_D,Line_2,M1,6,87.34,139,High,Standard,0.69,Minor_Fluctuation,Morning,46.3,3.23,12.13,8533.66,9993.65,06/01/2024 10:00
B2066,OncoDrug_A,Line_1,M1,4,244.78,106,High,Strict,0.75,Minor_Fluctuation,Evening,51.43,2.88,12.63,35023.59,36266.48,06/01/2024 12:00
B2067,OncoDrug_C,Line_3,M3,2,235.59,133,Low,Standard,0.92,Minor_Fluctuation,Evening,73.54,3.18,14.28,26361.93,27880.54,06/01/2024 14:00
B2068,OncoDrug_A,Line_1,M3,5,137.06,181,Low,Critical,0.5,Minor_Fluctuation,Morning,75.38,2.82,17.32,11710.79,14077.72,06/01/2024 16:00
B2069,OncoDrug_C,Line_4,M3,2,124.19,105,Medium,Standard,0.44,Controlled_Adjustment,Morning,39.43,2.08,18.22,13557.33,14439.9,06/01/2024 18:00
B2070,OncoDrug_C,Line_3,M4,6,184.28,69,High,Critical,0.91,Controlled_Adjustment,Night,51.88,3.07,10.75,27477.95,28990.26,06/01/2024 20:00
B2071,OncoDrug_A,Line_4,M4,2,144.05,85,Medium,Critical,0.61,Stable,Night,55.05,3.42,19.8,19976.68,21442.85,06/01/2024 22:00
B2072,OncoDrug_D,Line_3,M1,3,86.26,188,High,Critical,0.41,Stable,Morning,65.59,3.13,19.07,12918.65,14785.78,07/01/2024 00:00
B2073,OncoDrug_A,Line_1,M2,6,179.48,112,Medium,Critical,0.92,Stable,Evening,67.99,3.22,9.7,17465.54,19437.25,07/01/2024 02:00
B2074,OncoDrug_A,Line_3,M4,7,114.86,60,Low,Strict,0.92,Controlled_Adjustment,Night,43.42,2.52,8.88,12068.26,13218.89,07/01/2024 04:00
B2075,OncoDrug_C,Line_2,M1,3,164.69,177,Medium,Strict,0.86,Stable,Morning,75.4,2.82,12.78,22586.48,24187.47,07/01/2024 06:00
B2076,OncoDrug_C,Line_1,M4,5,175.36,116,High,Standard,0.72,Minor_Fluctuation,Morning,35.7,3.4,17.95,23910.81,25158.53,07/01/2024 08:00
B2077,OncoDrug_C,Line_1,M5,7,184.93,97,Medium,Strict,0.73,Controlled_Adjustment,Night,49.41,3.35,13.9,20458.09,22303.55,07/01/2024 10:00
B2078,OncoDrug_D,Line_3,M3,3,139.2,138,Medium,Standard,0.62,Stable,Night,53.24,2.07,10.62,20165.17,21060.49,07/01/2024 12:00
B2079,OncoDrug_A,Line_3,M4,3,210.72,143,High,Strict,0.65,Stable,Night,58.4,2.55,9.2,21981.67,22965.71,07/01/2024 14:00
B2080,OncoDrug_B,Line_3,M3,7,187.68,174,Low,Standard,0.7,Minor_Fluctuation,Morning,72.6,3.23,14.55,24179.84,26879.35,07/01/2024 16:00
B2081,OncoDrug_B,Line_3,M4,5,110.92,84,Medium,Strict,0.89,Controlled_Adjustment,Morning,45.16,3.1,19.43,14056.74,15634.33,07/01/2024 18:00
B2082,OncoDrug_B,Line_3,M3,3,182.33,110,High,Standard,0.42,Stable,Morning,36.97,3.0,17.22,15718.43,16687.66,07/01/2024 20:00
B2083,OncoDrug_D,Line_3,M2,2,170.85,71,Medium,Standard,0.51,Minor_Fluctuation,Evening,35.56,2.55,9.62,17616.03,18139.36,07/01/2024 22:00
B2084,OncoDrug_C,Line_4,M3,4,86.68,106,Low,Critical,0.75,Stable,Night,66.46,3.63,12.53,12919.07,14717.92,08/01/2024 00:00
B2085,OncoDrug_C,Line_1,M4,7,120.14,87,High,Strict,0.6,Stable,Night,36.26,3.45,14.75,15897.26,17307.77,08/01/2024 02:00
B2086,OncoDrug_B,Line_3,M2,7,105.12,174,Low,Strict,0.79,Minor_Fluctuation,Evening,72.55,2.28,16.75,11015.1,13389.9,08/01/2024 04:00
B2087,OncoDrug_D,Line_4,M3,4,121.22,178,High,Standard,0.61,Minor_Fluctuation,Night,53.63,3.22,8.97,12430.57,13601.49,08/01/2024 06:00
B2088,OncoDrug_B,Line_1,M1,7,135.67,103,Medium,Standard,0.53,Controlled_Adjustment,Morning,38.36,2.15,9.43,17015.98,17955.16,08/01/2024 08:00
B2089,OncoDrug_B,Line_2,M5,3,94.78,170,Low,Strict,0.81,Stable,Morning,67.38,2.12,14.47,11326.93,12729.56,08/01/2024 10:00
B2090,OncoDrug_C,Line_2,M2,3,128.24,65,Medium,Standard,0.89,Stable,Morning,36.3,2.97,14.6,12388.92,13241.97,08/01/2024 12:00
B2091,OncoDrug_C,Line_2,M4,7,118.31,129,High,Strict,0.54,Stable,Evening,47.27,2.05,14.15,11009.57,12356.77,08/01/2024 14:00
B2092,OncoDrug_C,Line_1,M3,7,217.0,114,Medium,Strict,0.86,Stable,Evening,60.64,3.23,8.38,17440.27,19321.12,08/01/2024 16:00
B2093,OncoDrug_B,Line_2,M2,7,123.84,121,Medium,Standard,0.91,Controlled_Adjustment,Morning,52.74,3.3,14.85,14039.31,16040.8,08/01/2024 18:00
B2094,OncoDrug_A,Line_3,M4,6,210.81,129,High,Standard,0.93,Minor_Fluctuation,Morning,48.22,2.32,10.2,24683.94,25846.04,08/01/2024 20:00
B2095,OncoDrug_A,Line_3,M1,2,183.81,123,High,Strict,0.45,Minor_Fluctuation,Night,51.38,2.17,16.83,20894.96,21982.51,08/01/2024 22:00
B2096,OncoDrug_D,Line_4,M4,4,180.96,193,Low,Standard,0.59,Stable,Night,66.34,3.2,17.48,19693.69,21702.68,09/01/2024 00:00
B2097,OncoDrug_B,Line_2,M5,7,98.14,128,High,Standard,0.86,Controlled_Adjustment,Night,46.5,2.82,13.88,14260.13,15822.53,09/01/2024 02:00
B2098,OncoDrug_A,Line_1,M1,4,239.52,135,Medium,Strict,0.61,Controlled_Adjustment,Evening,62.28,2.98,14.13,21504.89,23128.32,09/01/2024 04:00
B2099,OncoDrug_A,Line_1,M1,2,207.59,119,Medium,Standard,0.49,Minor_Fluctuation,Evening,50.04,3.4,11.07,28443.39,29337.44,09/01/2024 06:00
B2100,OncoDrug_C,Line_2,M2,4,187.74,121,High,Strict,0.6,Stable,Morning,48.96,2.65,13.23,24399.45,25566.33,09/01/2024 08:00
B2101,OncoDrug_A,Line_1,M2,4,186.1,156,Low,Strict,0.81,Controlled_Adjustment,Night,77.74,2.23,19.4,19517.02,21719.65,09/01/2024 10:00
B2102,OncoDrug_A,Line_4,M3,3,172.4,163,High,Critical,0.53,Controlled_Adjustment,Evening,60.14,3.1,14.83,22608.79,24060.17,09/01/2024 12:00
B2103,OncoDrug_A,Line_4,M2,3,103.68,74,Low,Standard,0.88,Stable,Morning,49.31,2.53,16.28,14781.38,15959.07,09/01/2024 14:00
B2104,OncoDrug_A,Line_3,M2,5,249.61,156,Low,Critical,0.79,Minor_Fluctuation,Morning,89.81,3.12,18.28,32445.13,35486.7,09/01/2024 16:00
B2105,OncoDrug_C,Line_3,M3,6,229.05,156,Low,Critical,0.46,Minor_Fluctuation,Morning,80.64,2.2,10.97,24397.85,26346.65,09/01/2024 18:00
B2106,OncoDrug_A,Line_1,M4,6,101.67,74,High,Critical,0.84,Controlled_Adjustment,Morning,45.31,3.25,19.73,13258.43,15036.09,09/01/2024 20:00
B2107,OncoDrug_B,Line_2,M5,4,197.97,95,Medium,Standard,0.79,Controlled_Adjustment,Morning,45.54,2.43,9.47,27295.47,28169.83,09/01/2024 22:00
B2108,OncoDrug_C,Line_1,M2,7,234.44,97,Medium,Standard,0.53,Stable,Night,38.11,2.18,11.95,28375.29,29413.15,10/01/2024 00:00
B2109,OncoDrug_C,Line_3,M5,7,97.14,170,Medium,Strict,0.8,Minor_Fluctuation,Evening,62.91,2.7,15.98,8465.8,10660.31,10/01/2024 02:00
B2110,OncoDrug_D,Line_2,M2,5,214.31,96,High,Critical,0.79,Stable,Night,58.73,2.13,9.17,28193.29,29358.1,10/01/2024 04:00
B2111,OncoDrug_D,Line_2,M2,2,237.35,60,Low,Critical,0.46,Stable,Evening,53.11,2.33,14.08,32925.41,33921.22,10/01/2024 06:00
B2112,OncoDrug_D,Line_3,M3,7,222.37,60,Low,Critical,0.88,Controlled_Adjustment,Night,70.2,2.33,15.5,18642.3,20877.0,10/01/2024 08:00
B2113,OncoDrug_A,Line_2,M3,2,114.95,116,Low,Standard,0.4,Controlled_Adjustment,Morning,47.71,2.67,17.9,12531.15,13639.62,10/01/2024 10:00
B2114,OncoDrug_D,Line_4,M4,3,236.38,189,High,Standard,0.66,Stable,Evening,62.06,2.7,11.3,23017.26,24221.23,10/01/2024 12:00
B2115,OncoDrug_B,Line_4,M3,2,164.72,147,Medium,Standard,0.57,Stable,Night,53.92,2.47,9.37,16378.54,17149.6,10/01/2024 14:00
B2116,OncoDrug_D,Line_3,M2,3,82.23,108,Medium,Standard,0.5,Stable,Evening,36.65,3.0,14.32,9468.63,10323.19,10/01/2024 16:00
B2117,OncoDrug_A,Line_4,M4,2,132.69,182,High,Standard,0.84,Minor_Fluctuation,Evening,57.86,3.02,8.85,14964.2,15825.35,10/01/2024 18:00
B2118,OncoDrug_D,Line_1,M2,2,86.21,89,High,Critical,0.86,Controlled_Adjustment,Night,48.89,2.77,11.55,10122.49,10957.69,10/01/2024 20:00
B2119,OncoDrug_C,Line_2,M2,2,148.13,122,High,Standard,0.46,Stable,Night,43.51,2.12,9.23,21660.72,22246.66,10/01/2024 22:00
B2120,OncoDrug_B,Line_2,M2,3,126.03,169,Medium,Standard,0.69,Controlled_Adjustment,Morning,60.9,3.1,15.7,14541.65,16064.15,11/01/2024 00:00
B2121,OncoDrug_A,Line_1,M5,7,137.68,126,Medium,Strict,0.89,Minor_Fluctuation,Morning,52.49,3.52,12.72,11972.44,13932.06,11/01/2024 02:00
B2122,OncoDrug_A,Line_4,M4,7,182.54,105,Medium,Critical,0.86,Minor_Fluctuation,Night,70.76,3.4,8.43,22695.07,24975.9,11/01/2024 04:00
B2123,OncoDrug_B,Line_2,M5,2,115.34,171,Low,Critical,0.5,Minor_Fluctuation,Evening,78.6,2.58,13.07,12629.77,14062.91,11/01/2024 06:00
B2124,OncoDrug_B,Line_4,M2,3,234.81,70,Low,Critical,0.54,Minor_Fluctuation,Evening,63.16,2.18,17.18,29043.26,30542.26,11/01/2024 08:00
B2125,OncoDrug_A,Line_3,M1,7,211.55,196,Medium,Strict,0.64,Controlled_Adjustment,Night,68.35,2.72,16.65,31355.86,33793.68,11/01/2024 10:00
B2126,OncoDrug_B,Line_3,M5,5,103.82,179,High,Critical,0.94,Minor_Fluctuation,Morning,71.07,3.33,17.08,13695.64,16094.25,11/01/2024 12:00
B2127,OncoDrug_D,Line_4,M3,3,187.69,162,High,Standard,0.52,Minor_Fluctuation,Night,49.6,2.35,12.23,20555.81,21512.27,11/01/2024 14:00
B2128,OncoDrug_B,Line_2,M5,3,169.37,168,High,Critical,0.78,Minor_Fluctuation,Evening,76.97,3.4,9.02,20384.4,21863.51,11/01/2024 16:00
B2129,OncoDrug_D,Line_3,M3,7,91.42,181,Low,Strict,0.8,Stable,Evening,75.24,3.42,8.77,13073.15,15532.25,11/01/2024 18:00
B2130,OncoDrug_A,Line_4,M2,7,204.47,157,High,Standard,0.73,Stable,Evening,48.88,2.73,15.0,22351.57,24020.01,11/01/2024 20:00
B2131,OncoDrug_A,Line_3,M2,5,211.05,105,Medium,Standard,0.43,Controlled_Adjustment,Morning,43.68,2.88,14.37,19608.26,20865.52,11/01/2024 22:00
B2132,OncoDrug_D,Line_3,M5,6,182.54,85,Medium,Critical,0.44,Minor_Fluctuation,Morning,48.73,2.58,10.2,23822.26,25074.62,12/01/2024 00:00
B2133,OncoDrug_D,Line_3,M5,4,241.38,114,Low,Strict,0.77,Stable,Night,70.38,2.35,9.47,27484.46,28812.3,12/01/2024 02:00
B2134,OncoDrug_A,Line_3,M3,3,85.3,140,Low,Standard,0.67,Controlled_Adjustment,Morning,48.83,2.42,15.82,7460.6,8586.94,12/01/2024 04:00
B2135,OncoDrug_B,Line_3,M1,2,139.76,188,Low,Critical,0.67,Stable,Night,96.5,2.7,18.58,15435.0,17749.4,12/01/2024 06:00
B2136,OncoDrug_D,Line_2,M4,4,219.25,167,High,Standard,0.78,Minor_Fluctuation,Evening,58.08,2.3,18.53,18945.33,20556.08,12/01/2024 08:00
B2137,OncoDrug_B,Line_4,M2,4,243.56,76,Low,Strict,0.92,Minor_Fluctuation,Morning,56.36,2.9,16.6,22640.87,24230.22,12/01/2024 10:00
B2138,OncoDrug_C,Line_2,M2,7,242.89,142,Medium,Critical,0.8,Controlled_Adjustment,Night,79.94,3.32,11.65,23676.04,26463.28,12/01/2024 12:00
B2139,OncoDrug_B,Line_2,M1,2,189.93,118,Medium,Standard,0.94,Controlled_Adjustment,Morning,60.14,2.42,9.1,15781.84,16619.79,12/01/2024 14:00
B2140,OncoDrug_C,Line_3,M3,2,110.7,145,High,Standard,0.9,Minor_Fluctuation,Morning,53.12,2.97,16.27,12530.44,13709.7,12/01/2024 16:00
B2141,OncoDrug_B,Line_2,M1,7,89.33,162,Low,Strict,0.42,Controlled_Adjustment,Night,58.43,2.5,10.85,8584.67,10241.16,12/01/2024 18:00
B2142,OncoDrug_C,Line_1,M3,5,161.78,190,Medium,Critical,0.78,Minor_Fluctuation,Evening,89.75,2.63,17.1,22047.19,24763.62,12/01/2024 20:00
B2143,OncoDrug_D,Line_1,M3,5,214.42,75,High,Standard,0.63,Stable,Night,33.61,3.08,13.5,24087.42,25059.3,12/01/2024 22:00
B2144,OncoDrug_A,Line_3,M3,3,83.62,72,High,Critical,0.69,Minor_Fluctuation,Night,41.84,2.93,12.85,11802.99,12708.82,13/01/2024 00:00
B2145,OncoDrug_C,Line_4,M2,2,210.61,162,High,Critical,0.69,Minor_Fluctuation,Morning,79.23,3.07,19.8,18477.18,20531.88,13/01/2024 02:00
B2146,OncoDrug_C,Line_2,M2,7,130.49,127,Low,Critical,0.79,Controlled_Adjustment,Morning,68.22,2.87,18.07,11439.15,14040.61,13/01/2024 04:00
B2147,OncoDrug_C,Line_4,M3,2,195.54,199,Medium,Standard,0.93,Stable,Morning,75.09,2.6,9.33,19188.11,20279.41,13/01/2024 06:00
B2148,OncoDrug_C,Line_1,M2,5,150.99,122,Low,Strict,0.92,Controlled_Adjustment,Night,73.15,2.4,17.72,12765.95,14939.73,13/01/2024 08:00
B2149,OncoDrug_B,Line_3,M3,5,222.43,113,High,Strict,0.73,Stable,Evening,50.09,3.22,10.1,20542.99,21854.52,13/01/2024 10:00
B2150,OncoDrug_C,Line_2,M3,3,86.24,62,High,Critical,0.85,Minor_Fluctuation,Evening,46.56,3.43,19.8,10028.35,11429.81,13/01/2024 12:00
B2151,OncoDrug_D,Line_4,M5,5,249.13,120,High,Critical,0.54,Minor_Fluctuation,Evening,63.43,2.57,19.82,28496.74,30567.73,13/01/2024 14:00
B2152,OncoDrug_B,Line_2,M3,2,106.16,72,Low,Standard,0.52,Minor_Fluctuation,Night,45.69,2.22,14.27,9172.86,10027.26,13/01/2024 16:00
B2153,OncoDrug_D,Line_4,M3,2,146.5,182,Medium,Critical,0.47,Controlled_Adjustment,Evening,81.28,2.13,11.57,21520.04,22806.97,13/01/2024 18:00
B2154,OncoDrug_D,Line_3,M2,5,86.02,99,Medium,Strict,0.91,Controlled_Adjustment,Evening,48.23,3.3,8.95,8445.86,9673.31,13/01/2024 20:00
B2155,OncoDrug_D,Line_3,M4,6,88.29,96,High,Critical,0.52,Stable,Night,46.28,3.27,18.2,7443.66,9193.05,13/01/2024 22:00
B2156,OncoDrug_D,Line_3,M5,6,161.7,152,Medium,Strict,0.9,Controlled_Adjustment,Evening,72.47,2.65,13.13,22881.17,24985.22,14/01/2024 00:00
B2157,OncoDrug_C,Line_3,M4,4,227.59,151,Low,Strict,0.87,Controlled_Adjustment,Night,80.23,2.97,19.67,23528.12,26058.04,14/01/2024 02:00
B2158,OncoDrug_C,Line_1,M1,6,198.57,159,Low,Critical,0.74,Controlled_Adjustment,Night,84.47,2.73,8.83,27364.39,29495.85,14/01/2024 04:00
B2159,OncoDrug_B,Line_1,M2,3,219.39,98,Medium,Critical,0.49,Stable,Morning,60.44,3.65,12.62,30330.67,31755.04,14/01/2024 06:00
